Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-07-30 00:00:00-04:00,45.84852740160347,45.920203788141045,45.17239024146014,45.37308120727539,84118000,0.0,0.0
2018-07-31 00:00:00-04:00,45.46624726454151,45.90585697091462,45.23688361804469,45.4638557434082,157492000,0.0,0.0
2018-08-01 00:00:00-04:00,47.57590680071627,48.204260831606916,47.141072789214036,48.14214324951172,271742800,0.0,0.0
2018-08-02 00:00:00-04:00,47.922340745331795,49.78590840236974,47.86739043361338,49.54937744140625,249616000,0.0,0.0
2018-08-03 00:00:00-04:00,49.46337006069851,49.87192290518005,49.09304510781069,49.69273376464844,133789600,0.0,0.0
2018-08-06 00:00:00-04:00,49.69511120297378,49.99375970779934,49.47291846527715,49.95075607299805,101701600,0.0,0.0
2018-08-07 00:00:00-04:00,50.01048745915473,50.053491095405114,49.39885223834808,49.48247528076172,102349600,0.0,0.0
2018-08-08 00:00:00-04:00,49.22921312307272,49.649708844447204,48.86366769784345,49.51591491699219,90102000,0.0,0.0
2018-08-09 00:00:00-04:00,50.060660767174234,50.120390473014474,49.50397947126975,49.905364990234375,93970400,0.0,0.0
2018-08-10 00:00:00-04:00,49.7159594736816,50.13313753274556,49.55052673201145,49.756717681884766,98444800,0.1825,0.0
2018-08-13 00:00:00-04:00,50.18348121880389,50.57668211474405,49.797472732184794,50.07798767089844,103563600,0.0,0.0
2018-08-14 00:00:00-04:00,50.38727972269196,50.483180959836645,49.93173970026047,50.288978576660156,82992000,0.0,0.0
2018-08-15 00:00:00-04:00,50.161899309668726,50.526330534315456,49.94851598346313,50.40645217895508,115230400,0.0,0.0
2018-08-16 00:00:00-04:00,50.768489071819026,51.26238736481284,50.701357478114865,51.1449089050293,114001600,0.0,0.0
2018-08-17 00:00:00-04:00,51.173682208236954,52.25498385279196,51.106550609724316,52.16627502441406,141708000,0.0,0.0
2018-08-20 00:00:00-04:00,52.29094715769446,52.54988122097256,51.57407317847022,51.657989501953125,121150800,0.0,0.0
2018-08-21 00:00:00-04:00,51.979267184389215,52.0727721760448,51.31513992353409,51.55729293823242,104639200,0.0,0.0
2018-08-22 00:00:00-04:00,51.331924190667024,51.87377315558548,51.26958509119291,51.5596923828125,76072400,0.0,0.0
2018-08-23 00:00:00-04:00,51.4637817682668,52.03920012801946,51.45179685821988,51.66518020629883,75532800,0.0,0.0
2018-08-24 00:00:00-04:00,51.93130683523468,52.00323092426744,51.57406800665077,51.82581329345703,73905600,0.0,0.0
2018-08-27 00:00:00-04:00,52.063172683817996,52.444388666567086,51.86657406672489,52.25258255004883,82100400,0.0,0.0
2018-08-28 00:00:00-04:00,52.50912018822282,52.8759476929257,52.48754296051027,52.67455291748047,91107200,0.0,0.0
2018-08-29 00:00:00-04:00,52.78243703136143,53.58322720475866,52.60501941140871,53.4609489440918,109019200,0.0,0.0
2018-08-30 00:00:00-04:00,53.525694519692266,54.726874522013595,53.32189981852025,53.95246124267578,195175200,0.0,0.0
2018-08-31 00:00:00-04:00,54.30729471658344,54.87312073656425,54.1850201032849,54.57582473754883,173360400,0.0,0.0
2018-09-04 00:00:00-04:00,54.76283924647296,54.947449306895884,54.336072531151004,54.750850677490234,109560400,0.0,0.0
2018-09-05 00:00:00-04:00,54.90189869825116,55.06493152984087,53.969245100698785,54.393611907958984,133332000,0.0,0.0
